nature_vs_city,trash_type
Nature,Recycling station
City,Recycling station
Nature,Regular trash
City,Regular trash
Nature,Regular trash
City,Recycling station
Nature,Recycling station
City,Regular trash
Nature,Recycling station
City,Recycling station
Nature,Regular trash
City,Recycling station
Nature,Regular trash
City,Regular trash
Nature,Regular trash
City,Regular trash
Nature,Regular trash
City,Recycling station
Nature,Regular trash
City,Regular trash
Nature,Recycling station
City,Regular trash
Nature,Regular trash
City,Recycling station
Nature,Regular trash
City,Regular trash
Nature,Recycling station
City,Other
Nature,Regular trash
City,Regular trash
Nature,Regular trash
City,Regular trash
Nature,Regular trash
City,Recycling station
Nature,Regular trash
City,Regular trash
Nature,Recycling station
City,Recycling station
